2026-04-03 22:19:39.244 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2026-04-03 22:19:39.280 [main] INFO  com.minecraft.MinecraftApplication - Starting MinecraftApplication using Java 21.0.9 with PID 19248 (D:\IDEA\work\Minecraft-system\Minecraft\target\classes started by Admin in D:\IDEA\work\Minecraft-system)
2026-04-03 22:19:39.280 [main] DEBUG com.minecraft.MinecraftApplication - Running with Spring Boot v3.0.2, Spring v6.0.4
2026-04-03 22:19:39.280 [main] INFO  com.minecraft.MinecraftApplication - The following 1 profile is active: "dev"
2026-04-03 22:19:40.346 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-03 22:19:40.349 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-03 22:19:40.388 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2026-04-03 22:19:40.689 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.minecraft.aspect.LogAspect
2026-04-03 22:19:40.689 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.minecraft.aspect.LogAspect
2026-04-03 22:19:41.204 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-04-03 22:19:41.216 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-03 22:19:41.216 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-03 22:19:41.216 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2026-04-03 22:19:41.357 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-03 22:19:41.357 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2039 ms
2026-04-03 22:19:41.583 [main] DEBUG c.m.handler.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2026-04-03 22:19:43.635 [main] INFO  com.minecraft.utils.FileUtils - 使用目录: D:\Image
2026-04-03 22:19:43.635 [main] INFO  com.minecraft.utils.FileUtils - 文件上传路径初始化: D:\Image
2026-04-03 22:19:44.257 [main] INFO  c.minecraft.utils.RedisHealthChecker - ✅ Redis 连接成功
2026-04-03 22:19:44.446 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 384019dc-9792-435b-b97d-fcb15acabfd8

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-04-03 22:19:44.719 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-04-03 22:19:44.862 [main] INFO  com.minecraft.config.WebConfig - 使用目录: D:\Image
2026-04-03 22:19:45.589 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-04-03 22:19:45.644 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@67fda9fb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@580a5b6e, org.springframework.security.web.context.SecurityContextHolderFilter@765d67dd, org.springframework.security.web.header.HeaderWriterFilter@685e5967, org.springframework.security.web.authentication.logout.LogoutFilter@1b18fa79, com.minecraft.handler.JwtAuthenticationFilter@3c4059a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2fda92e0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5e783f78, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66450129, org.springframework.security.web.session.SessionManagementFilter@75a5a912, org.springframework.security.web.access.ExceptionTranslationFilter@59b43e35, org.springframework.security.web.access.intercept.AuthorizationFilter@2a728076]
2026-04-03 22:19:46.303 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-03 22:19:46.316 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-04-03 22:19:46.317 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
